LearningRate,Timestep,KendallTau,MAP,a
0.0001,8,0.7711478325725764,0.2315929676674076,1.4
0.0001,9,0.7409304466767594,0.2047856897488599,1.4
0.0001,7,0.8304988253817993,0.33689242498598965,1.0
0.0001,8,0.765524362759021,0.2273758284630359,1.0
0.0001,9,0.7029767075616932,0.17637825609927543,1.0
0.0001,7,0.8359926424727679,0.3228585024868175,1.6
0.0001,8,0.7481527890417656,0.20711682333371312,1.6
0.0001,9,0.7379994729968159,0.1863819521151525,1.6
0.0001,7,0.8438237090208667,0.3553523253228153,1.7
0.0001,8,0.7399718472253047,0.26698184062221725,1.7
0.0001,9,0.7502348282477166,0.22019471251198422,1.7
0.0001,7,0.8296275985967383,0.33623578498838935,1.8
0.0001,8,0.7436077446527869,0.27556607161555796,1.8
0.0001,9,0.7348850954836422,0.1960340318895332,1.8
0.0001,7,0.8343950968282517,0.32954386579647016,1.9
0.0001,8,0.7343243697154849,0.19987615964115393,1.9
0.0001,9,0.7306583511773361,0.18001279813551596,1.9
